"SYS.4.4";"G 0.02";"G 0.04";"G 0.08";"G 0.09";"G 0.14";"G 0.16";"G 0.18";"G 0.19";"G 0.20";"G 0.21";"G 0.23";"G 0.24";"G 0.25";"G 0.26";"G 0.28";"G 0.29";"G 0.30";"G 0.38";"G 0.39";"G 0.40"
"SYS.4.4.A01";;;;;X;;X;X;X;;X;;;X;X;;;;;
"SYS.4.4.A02";;;;;X;;;X;;X;X;;;;;;X;X;X;X
"SYS.4.4.A03";;;;;X;;X;X;X;X;X;;X;X;X;;X;X;X;X
"SYS.4.4.A04";;;;;X;;X;X;X;X;X;;X;X;X;;X;X;X;X
"SYS.4.4.A05";;;;;X;;;X;X;X;X;;X;X;X;X;X;X;X;X
"SYS.4.4.A06";X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
"SYS.4.4.A07";X;X;X;X;;X;X;X;;X;X;;;;;;X;X;X;X
"SYS.4.4.A08";;;;;X;;X;;X;;X;;;X;X;;;;;
"SYS.4.4.A09";X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;
"SYS.4.4.A10";;;;;X;;X;X;;X;X;;X;;X;;X;X;X;X
"SYS.4.4.A11";;;;;X;;;;;;X;;;;X;;X;X;X;X
"SYS.4.4.A12";;;;X;X;;X;;;;;;;;;;X;;;
"SYS.4.4.A13";;;;;X;;;X;;X;X;;;X;X;;X;X;X;X
"SYS.4.4.A14";;;;;;;X;;X;;;;;;;;X;;;
"SYS.4.4.A15";;;;;X;;;X;;X;X;;;;X;;X;X;X;X
"SYS.4.4.A16";;;;;;;;;;;;;;;;;;;X;
"SYS.4.4.A17";;;;X;X;;;;;X;X;;X;X;X;;X;;;X
"SYS.4.4.A18";;;;;X;;;X;;X;X;;;;;;X;;;
"SYS.4.4.A19";;;;;X;;;X;;X;X;;;;X;;X;X;X;X
"SYS.4.4.A20";;;;;;;X;X;;;;;;;;;;;;
"SYS.4.4.A21";X;X;X;;;X;X;;;;;X;X;;;X;;;;
"SYS.4.4.A22";;;;;;;;;;X;X;;X;X;;;;;;X
"SYS.4.4.A23";;;;;X;;X;X;X;X;X;;;X;X;;;;;
"SYS.4.4.A24";;;;;X;;;X;;;X;;;;X;;X;;;
